% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.250720139e+05 +3.250720139e+05 +3.245255139e+05 +3.245255139e+05 -3.4829e-01 -4.4442e+00 +1.7274e+00 -1.7270e+00 -2.7629e+00 +2.3021e+00 +1.8321e+00 -3.3288e+00 +4.9309e+00 +2.7722e-01 +3.7524e+00 -3.4858e+00 -3.9370e+00 -4.8912e+00 -2.6010e+00 +6.8528e-01 -3.1181e+00 +4.5114e+00 -3.1127e+00 +3.9449e+00
3 +2.215765895e+05 +2.215765895e+05 +2.210300895e+05 +2.210300895e+05 -2.2671e+00 +3.7958e+00 +3.8186e+00 +2.3148e+00 -3.0364e+00 -1.8705e+00 +1.1969e+00 -3.3258e+00 +3.9882e+00 -4.6226e+00 +9.6885e-01 -3.7968e-02 +1.9712e+00 +1.1097e+00 -2.1888e+00 +1.8194e+00 -1.4981e+00 +3.3181e+00 -1.1907e+00 +3.4411e+00
4 +1.171236854e+05 +1.171236854e+05 +1.165771854e+05 +1.165771854e+05 -3.6002e+00 -3.7400e+00 -2.3023e-01 +4.1319e+00 -1.6462e+00 -3.2098e+00 -1.3935e+00 +1.6507e-01 +2.0197e+00 +3.4306e+00 +2.5963e+00 +3.8631e+00 +4.5665e+00 -2.4400e+00 +1.9968e+00 -2.6821e-01 +3.6061e-02 +4.0882e+00 -4.8480e+00 -5.3165e-01
8 +9.539229935e+04 +9.539229935e+04 +9.484579935e+04 +9.484579935e+04 +2.4640e+00 -2.3055e+00 -5.6733e-01 -3.5809e+00 +2.3672e+00 -4.3561e+00 -4.6296e+00 +2.8621e+00 -7.8229e-01 +1.3063e+00 -1.8067e+00 +4.6339e+00 +7.2489e-01 -3.8705e+00 -1.9074e+00 +1.5510e+00 +4.5417e+00 +3.7960e+00 -3.6156e+00 +2.6655e+00
29 +2.300537016e+04 +2.300537016e+04 +2.245887016e+04 +2.245887016e+04 -2.9767e-01 +4.5453e+00 -4.7374e-01 -1.6176e+00 -2.8302e+00 +5.7012e-01 +1.7025e+00 +1.0423e+00 -2.5639e+00 +1.9136e+00 +2.2679e+00 -2.0759e+00 +1.1583e+00 -1.0227e+00 +4.7571e+00 -1.5144e+00 +3.1853e+00 -5.6026e-01 -2.3802e-01 +1.2228e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.222844298e+05 +3.222844298e+05 +3.232844298e+05 +3.232844298e+05 -1.0340e+00 -2.8807e+00 +5.5283e-01 +4.4865e+00 +1.6596e+00 +4.2308e+00 -3.0047e+00 +3.0244e+00 -1.3518e+00 +4.0156e+00 +3.0541e+00 -1.7585e+00 +1.9810e+00 +3.0844e+00 +4.3797e+00 +7.3670e-01 +4.7100e+00 -1.4624e+00 -2.4981e+00 -2.8897e+00
2 +1.327756150e+05 +1.327756150e+05 +1.337756150e+05 +1.337756150e+05 +1.7979e+00 -1.6852e+00 -1.2759e+00 -6.4326e-01 -2.9480e+00 -2.8436e+00 +7.1784e-01 +6.4655e-01 +2.4388e+00 +4.9021e-01 +2.1374e+00 +3.8796e+00 -3.6592e+00 -3.9073e+00 +2.2264e+00 -3.1472e+00 -2.9212e+00 +2.8071e-01 +3.1242e+00 +3.7039e+00
4 +9.225339931e+04 +9.225339931e+04 +9.325339931e+04 +9.325339931e+04 +2.0574e+00 +3.0877e+00 -1.0234e+00 +3.1886e+00 -3.4849e+00 -4.9063e+00 -3.0746e+00 +2.3282e+00 -4.9675e+00 +1.6627e+00 -8.4466e-01 +2.1679e-01 -4.3845e+00 +1.5325e+00 -1.0526e+00 -4.2286e+00 +4.0514e+00 -1.4337e+00 +1.3546e+00 +5.3664e-01
67 +5.157769433e+04 +5.157769433e+04 +5.257769433e+04 +5.257769433e+04 +1.7860e+00 +4.9670e+00 -1.3975e+00 +8.5782e-01 -1.6963e-01 -2.4465e+00 +2.0717e+00 +3.4057e+00 -3.8460e+00 +9.0867e-01 -1.3870e+00 +1.9961e-01 -2.0845e+00 -2.8437e+00 +7.0578e-01 +1.6051e+00 +3.6585e-01 -4.1007e+00 +1.7008e+00 +1.2999e+00
1047 +3.881316456e+04 +3.881316456e+04 +3.981316456e+04 +3.981316456e+04 +1.4694e-38 +4.9563e+00 -1.4694e-38 +1.4694e-38 -1.4694e-38 -2.4402e+00 +2.0631e+00 +3.4035e+00 -3.8561e+00 +9.0914e-01 -1.4694e-38 +1.9949e-01 -2.0821e+00 -2.9574e+00 +1.4694e-38 +1.6089e+00 +3.6634e-01 -4.1095e+00 +1.4694e-38 +1.3044e+00
% function evaluation | noise-free fitness - Fopt (2.083800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.130204739e+04 +5.130204739e+04 +5.151042739e+04 +5.151042739e+04 -2.5225e+00 +2.7657e+00 +1.9221e+00 +1.5381e-01 -2.8610e-01 -2.5580e-01 -6.5285e-02 +2.5060e+00 -3.8877e+00 +1.4943e+00 +4.1438e+00 +3.6963e+00 -1.4655e+00 -2.3588e+00 +2.5169e+00 +2.0255e+00 -2.6319e-01 -8.9877e-01 +2.9049e+00 -9.4621e-01
