% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.609709580e+03 +1.609709580e+03 +2.609709580e+03 +2.609709580e+03 +4.6933e+00 -1.1697e+00 +3.8069e+00 -5.6855e-01 -3.8132e+00 -2.1759e+00 -1.5477e+00 +4.2376e+00 -7.3148e-02 +1.4497e+00 +3.3526e-01 +7.9861e-01 -3.6344e+00 +3.7306e+00 -2.2946e+00 +2.1932e+00 -3.1866e+00 -3.0295e+00 -1.0556e+00 +3.0569e+00
5 +1.400226813e+03 +1.400226813e+03 +2.400226813e+03 +2.400226813e+03 -7.9504e-01 -2.3801e+00 +4.3157e+00 -2.0746e+00 +4.5753e+00 +7.3824e-01 +2.7031e+00 +2.1334e+00 -4.0621e+00 +1.7183e+00 -1.4472e+00 -6.2767e-01 +3.9693e+00 -4.6949e+00 +2.3541e+00 -2.9136e+00 +1.2826e+00 -2.7675e+00 -4.3151e+00 +1.3208e+00
6 +7.785069347e+02 +7.785069347e+02 +1.778506935e+03 +1.778506935e+03 +1.6891e+00 -2.0410e+00 +4.2922e+00 +4.1434e-01 +4.5207e+00 +3.8062e+00 -3.7880e+00 -3.0241e+00 -6.2098e-01 +2.9545e+00 -3.9634e+00 -3.5287e+00 -2.7028e+00 -1.3584e+00 +3.1799e+00 +1.7044e+00 -6.4845e-01 -3.7525e+00 +3.2506e+00 -1.8242e+00
737 +5.958559976e+02 +5.958559976e+02 +1.595855998e+03 +1.595855998e+03 +3.6252e+00 +2.7579e+00 +7.1331e-01 +2.2925e+00 +2.1336e+00 -5.9490e-01 -1.0189e+00 -2.1524e+00 -2.2157e+00 -1.4526e+00 -2.4241e+00 -1.8598e+00 -1.4823e+00 -1.4063e+00 +2.6848e+00 +2.8979e+00 -1.2768e-01 -2.2283e+00 +3.3448e+00 +2.5698e+00
511 +6.097577110e+02 +6.097577110e+02 +1.609757711e+03 +1.609757711e+03 +3.2698e+00 +3.6298e+00 +3.7953e-01 -3.7993e+00 +3.2854e+00 -1.8777e+00 -3.7099e+00 +9.6595e-01 -4.9089e+00 -2.5740e+00 -4.9272e+00 -4.5605e+00 -2.0129e+00 -2.0702e+00 +3.6545e-01 +1.3652e+00 +4.0569e+00 -1.9543e+00 +1.1874e+00 +7.7036e-02
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.823604002e+03 +1.823604002e+03 +1.893634002e+03 +1.893634002e+03 +3.6063e+00 -1.8657e+00 -1.7158e+00 -1.4788e+00 +4.5929e+00 -1.2764e+00 -4.9750e+00 +2.2830e+00 -4.5693e+00 -2.5977e+00 -4.9712e+00 -2.5336e-01 -6.5261e-01 -4.7442e+00 -4.3900e-01 +3.3799e+00 +4.2035e+00 +3.5638e+00 -4.6822e+00 -2.5149e+00
8 +1.162097319e+03 +1.162097319e+03 +1.232127319e+03 +1.232127319e+03 +6.4432e-03 -2.7778e+00 +1.8296e+00 -4.4985e+00 -4.2575e+00 -1.5830e+00 -2.2438e+00 -4.5509e+00 +4.3483e+00 +3.4720e-02 -2.9993e+00 +7.4293e-01 -2.4771e+00 +4.8295e-01 +3.3576e+00 -1.8178e+00 -2.1872e+00 +3.0043e+00 -4.7589e+00 -2.5867e+00
82 +9.367630529e+02 +9.367630529e+02 +1.006793053e+03 +1.006793053e+03 -3.1843e+00 +1.7067e+00 +1.7015e+00 +2.5065e+00 -8.8154e-01 -3.2746e+00 +1.0093e+00 +2.8322e+00 +2.5349e-01 +1.0229e+00 -4.6837e+00 -1.5445e+00 -5.4885e-01 -1.2847e+00 +1.6471e+00 -1.9229e-01 +1.2496e+00 -2.7280e+00 +6.7148e-01 +8.2052e-01
325 +5.906094682e+02 +5.906094682e+02 +6.606394682e+02 +6.606394682e+02 -3.2958e+00 +5.8960e-01 -3.4092e+00 -3.9969e+00 +4.1342e+00 -1.9495e+00 +7.6698e-01 +2.3278e+00 -3.0627e+00 +4.1676e+00 -1.8900e+00 -3.8185e+00 -1.1416e+00 +1.8227e+00 -1.3501e-01 -3.5353e+00 +2.8714e-01 +3.9382e+00 -4.9538e+00 +3.6752e-01
% function evaluation | noise-free fitness - Fopt (-4.822000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.921848738e+03 +1.921848738e+03 +1.873628738e+03 +1.873628738e+03 -2.6413e+00 +1.6680e+00 -1.3231e+00 -5.8433e-01 -1.6484e+00 -2.3610e+00 -9.5637e-01 +2.7002e+00 +4.2582e+00 +4.3707e+00 +1.3309e+00 -3.5569e-01 -3.1983e+00 -3.4749e+00 -4.5051e+00 -2.3563e+00 -1.4203e+00 +2.3228e+00 -3.3994e-01 +6.1049e-01
8 +1.511152744e+03 +1.511152744e+03 +1.462932744e+03 +1.462932744e+03 +2.6506e+00 +3.5338e+00 +4.0078e+00 +4.6072e+00 -1.9888e+00 -3.2459e+00 -4.9086e+00 -2.8499e+00 -1.7544e+00 +3.7342e+00 +3.4286e+00 -7.6900e-01 -4.0095e+00 -1.2719e-01 -3.0065e+00 +1.8726e+00 -7.4780e-01 +2.8650e+00 +1.6635e+00 +4.4321e+00
29 +9.270036381e+02 +9.270036381e+02 +8.787836381e+02 +8.787836381e+02 -3.1280e+00 -4.6314e+00 +5.2736e-01 +1.8928e+00 -3.4414e+00 +2.6514e-01 +4.5107e+00 -1.1328e+00 -3.7604e+00 -1.5953e+00 +3.7914e+00 -1.5730e+00 +5.8475e-03 +4.6599e+00 +1.3607e+00 +5.8789e-01 -4.9535e+00 +3.3731e+00 -4.2679e+00 -7.3040e-01
791 +6.158591676e+02 +6.158591676e+02 +5.676391676e+02 +5.676391676e+02 -7.2046e-39 -5.0000e+00 +2.0606e+00 +4.0768e+00 -7.9416e-39 -4.3911e-01 +1.2714e-38 -1.1234e+00 -5.0000e+00 +8.5250e-01 +2.1754e+00 -8.0237e-02 -3.0578e+00 +6.6461e-39 -3.2749e-03 +2.9644e-01 -2.2938e+00 +5.0802e-01 -6.8417e-39 +8.7117e-39
247 +6.259933154e+02 +6.259933154e+02 +5.777733154e+02 +5.777733154e+02 -4.0133e+00 -3.0322e+00 -2.9043e+00 -3.5412e+00 -3.2283e+00 +4.7098e+00 -3.9273e+00 +3.8815e-01 +2.1167e+00 +1.5820e+00 -4.3626e+00 -3.3943e+00 +2.9550e-01 +7.8385e-02 +1.5560e+00 -1.1839e-02 +1.0894e-01 +9.1933e-01 +3.5454e+00 +1.4774e+00
% function evaluation | noise-free fitness - Fopt (2.547000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.560683264e+03 +2.560683264e+03 +2.586153264e+03 +2.586153264e+03 -3.2012e+00 +1.3456e+00 +3.1754e+00 -2.4583e+00 -4.9112e+00 +4.3449e+00 -1.5162e+00 -2.3777e+00 +2.1527e-01 -2.8877e+00 -1.2434e+00 +3.8566e+00 +3.6860e+00 -2.3399e+00 +2.6496e-01 -3.8522e+00 +1.1470e+00 -4.6577e+00 +3.5455e+00 +4.3569e+00
4 +1.496852197e+03 +1.496852197e+03 +1.522322197e+03 +1.522322197e+03 -2.6888e+00 -2.7789e+00 +2.4424e+00 +2.7939e+00 -2.2131e+00 -1.5658e+00 -1.9539e+00 +3.1726e+00 +2.2893e+00 -3.7576e+00 +3.2288e+00 -1.3767e+00 -3.4118e+00 -4.4100e+00 +2.4361e-01 +3.5056e+00 -2.3587e-02 +3.7905e+00 +4.6960e+00 -2.3425e-01
122 +9.892570822e+02 +9.892570822e+02 +1.014727082e+03 +1.014727082e+03 -1.3950e+00 -2.2658e+00 -2.6566e+00 +1.0817e+00 +3.1901e+00 -3.9632e+00 -4.9730e+00 +1.4771e+00 +2.2341e+00 -1.3226e+00 -4.3724e+00 +1.3455e+00 +1.1484e+00 -4.4335e+00 -2.5801e-01 -8.7239e-01 -2.7893e+00 +1.1910e+00 +1.6255e+00 -2.1773e+00
953 +5.738519328e+02 +5.738519328e+02 +5.993219328e+02 +5.993219328e+02 -2.4640e+00 +3.8910e-01 -1.4168e-308 +6.5561e-310 -9.3206e-309 +3.9057e+00 +4.4702e-309 +3.0863e-299 +2.1396e+00 +2.0661e+00 -5.0000e+00 +9.2048e-10 +6.4301e-309 +3.8964e+00 -7.4769e-10 -1.9254e+00 +2.3645e-308 +4.4746e-299 +2.2179e-308 -3.0918e+00
353 +5.683710607e+02 +5.683710607e+02 +5.938410607e+02 +5.938410607e+02 -3.4201e+00 +2.1443e-01 -7.2082e-02 -4.8808e+00 -4.2221e+00 -1.9852e-01 -1.1231e+00 +2.3825e+00 +3.2723e+00 -2.1247e+00 +4.3172e+00 -4.4334e+00 +3.8318e+00 +3.9001e-02 +1.8321e+00 -2.8703e+00 +8.8453e-01 +2.6944e+00 +2.0356e+00 -4.3626e+00
% function evaluation | noise-free fitness - Fopt (-1.008100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.103852443e+03 +4.103852443e+03 +4.003042443e+03 +4.003042443e+03 +5.9210e-01 +7.4559e-01 -4.2874e+00 -1.9660e+00 -3.2547e+00 -2.6958e+00 +2.7686e+00 -4.5142e+00 +4.3578e+00 +7.8960e-01 +3.8242e+00 +6.3765e-01 -5.3337e-01 +1.9092e+00 +8.3526e-01 +3.9180e+00 +3.9729e+00 -4.3773e+00 -4.9211e+00 -1.7743e-01
2 +2.666554646e+03 +2.666554646e+03 +2.565744646e+03 +2.565744646e+03 -3.0050e+00 +2.1462e+00 +3.6959e+00 +3.4043e+00 -3.2209e+00 -2.9172e+00 +1.5559e+00 -2.3583e+00 -3.1106e+00 -3.9112e+00 -4.2201e+00 +4.8146e+00 -2.0008e+00 -4.7826e+00 -3.7375e+00 -3.4824e+00 +1.8771e+00 +3.3649e-01 -3.3900e+00 +3.5328e-01
3 +1.325914941e+03 +1.325914941e+03 +1.225104941e+03 +1.225104941e+03 +4.6428e+00 +1.7189e+00 +1.3252e+00 -4.5874e+00 +2.9941e-01 +4.1487e+00 +2.5456e+00 +1.5329e+00 -4.4303e+00 +3.7443e+00 -1.8186e+00 -4.1082e+00 -1.9758e+00 +2.7886e+00 -9.6245e-02 -6.5788e-01 +2.6436e+00 -4.2946e+00 +4.2740e+00 -2.0360e+00
43 +8.281974672e+02 +8.281974672e+02 +7.273874672e+02 +7.273874672e+02 -2.3253e+00 -2.8653e+00 +4.5416e+00 +7.8066e-02 +2.1886e+00 -2.4433e+00 +3.0458e-03 +2.1440e+00 -4.1589e+00 +1.7700e+00 +1.0253e+00 -4.8995e-01 +4.6621e+00 -2.6369e+00 +6.7507e-01 -8.4113e-01 +4.6615e+00 -4.0993e+00 +3.8262e+00 -3.5357e+00
141 +5.918471240e+02 +5.918471240e+02 +4.910371240e+02 +4.910371240e+02 -3.2736e+00 -3.7974e+00 +1.8571e+00 -2.7140e+00 -2.0756e+00 +1.9672e+00 +3.0324e+00 +4.0188e+00 -2.6820e+00 -3.3813e-01 -1.1901e+00 -4.1896e+00 -9.6930e-02 -1.6793e+00 -2.1805e+00 +2.0070e+00 +1.1592e+00 +2.5214e+00 -1.9792e+00 +4.6597e-01
% function evaluation | noise-free fitness - Fopt (4.017300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.371856334e+03 +1.371856334e+03 +1.773586334e+03 +1.773586334e+03 +4.0430e+00 -1.2989e+00 -1.8405e+00 -6.0768e-02 -2.5470e+00 +8.3315e-01 +7.3611e-01 +7.7597e-01 -3.0001e+00 +1.6383e+00 +2.9132e+00 +5.0555e-01 +4.4552e+00 -4.3151e+00 +3.3614e+00 -1.1064e+00 +1.1336e+00 +2.5339e+00 -3.6206e+00 -7.1814e-01
