% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.280019989e+03 +4.280019989e+03 +3.817929989e+03 +3.817929989e+03 +1.7522e+00 +1.4429e-01 +2.3059e+00 +1.2704e+00 +2.7995e+00 +4.8592e+00 -4.6426e+00 -4.2292e+00 -1.7020e+00 -2.1855e+00 -2.6017e+00 -4.7347e+00 -1.8436e+00 +3.7986e+00 -3.5774e+00 +3.6754e+00 -1.3527e+00 -2.7462e+00 -2.3971e+00 +4.8683e+00
2 +2.781398782e+03 +2.781398782e+03 +2.319308782e+03 +2.319308782e+03 -2.9246e-01 +3.9654e+00 -6.6834e-01 +1.8255e+00 -2.6737e+00 +7.6343e-01 +3.9298e+00 -3.9607e+00 +4.4304e+00 -1.8035e+00 +1.3613e+00 +3.4949e+00 +3.5738e+00 -3.1655e+00 +3.1725e+00 -1.8014e+00 -4.6689e+00 +2.7392e+00 +1.5287e+00 -4.5595e+00
4 +1.871983848e+03 +1.871983848e+03 +1.409893848e+03 +1.409893848e+03 +4.9419e+00 +4.3965e+00 +3.9832e+00 +4.4335e+00 +4.1303e+00 +4.3315e+00 -4.2069e+00 -1.7357e+00 +4.0644e+00 +1.4983e+00 -3.8148e+00 -3.0806e+00 -2.1027e+00 +2.3155e-01 +4.8366e+00 -2.1470e+00 +2.6109e+00 +3.6325e+00 -1.7924e+00 -3.7115e+00
8 +1.391355848e+03 +1.391355848e+03 +9.292658480e+02 +9.292658480e+02 -2.7260e+00 +4.0411e+00 -3.5883e+00 -3.0845e+00 -2.3923e+00 +1.2392e+00 +3.2601e+00 -3.7835e+00 +1.4535e-01 -7.5347e-01 -5.3399e-01 -1.3250e+00 -1.3227e+00 -8.2316e-01 +3.9044e+00 -1.6412e+00 +2.2349e+00 -6.4312e-01 -3.1113e+00 -2.9782e+00
64 +7.255866234e+02 +7.255866234e+02 +2.634966234e+02 +2.634966234e+02 -3.6747e-01 +1.3762e+00 +6.9213e-01 +2.2854e+00 +1.1968e+00 -3.6986e+00 -1.5023e-01 +1.1501e+00 +1.1092e+00 +1.1254e+00 -3.2567e+00 -1.4039e+00 +1.0307e+00 -1.1660e+00 +6.4723e-02 -2.2076e+00 -4.9323e+00 +1.1803e+00 -2.3776e+00 -2.7726e+00
231 +5.824748463e+02 +5.824748463e+02 +1.203848463e+02 +1.203848463e+02 -3.2340e-01 -4.8903e-01 -1.7494e+00 +1.4368e+00 -1.2654e+00 -7.1233e-01 -1.1345e+00 -3.6019e+00 +1.2909e+00 -4.0398e+00 -4.3135e+00 -4.6937e+00 -3.7821e+00 -3.3664e+00 -4.3231e+00 -2.0870e+00 +6.9994e-01 +3.8665e+00 -1.0677e+00 +2.4481e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.665941212e+03 +2.665941212e+03 +2.743601212e+03 +2.743601212e+03 +4.3048e-01 -2.5646e+00 -1.8730e+00 +2.2520e+00 +4.6575e+00 -3.9043e-01 +1.5989e+00 -3.7405e+00 +3.3817e+00 -1.7753e+00 +3.8116e+00 -1.8163e+00 -3.9909e+00 -2.8865e+00 +4.8895e+00 +2.5602e+00 +9.5660e-01 -3.5276e+00 -2.5252e+00 -2.8768e+00
2 +6.356072702e+02 +6.356072702e+02 +7.132672702e+02 +7.132672702e+02 -4.6848e+00 +3.9443e-03 +3.4354e+00 +2.1073e+00 -4.8495e+00 +2.2282e+00 +2.5912e+00 +6.7162e-01 +8.9282e-01 -2.7911e+00 -3.6362e+00 +3.1794e+00 -1.8085e+00 -3.3124e+00 -2.9672e+00 +2.5786e+00 -2.8001e+00 -1.8872e+00 +1.2450e-01 -2.8258e+00
919 +6.103694365e+02 +6.103694365e+02 +6.880294365e+02 +6.880294365e+02 -1.0771e-02 -3.5629e+00 +2.4023e+00 -1.0669e-02 -5.0000e+00 +5.0000e+00 +1.6888e+00 +8.8966e-01 -3.8247e+00 -4.8923e+00 +5.0000e+00 -5.0000e+00 -2.0936e+00 +2.8475e-01 -2.9837e+00 +3.3314e+00 -3.0681e-02 -1.0142e+00 +2.5546e+00 -2.4880e+00
