% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.046885413e+01 +1.046885413e+01 +1.733885413e+01 +1.733885413e+01 -2.4510e+00 -1.8306e+00 +4.6202e+00 -1.0559e+00 +4.5559e+00 +4.4724e+00 -2.8954e+00 +3.6211e+00 -7.3029e-03 +2.9600e+00 -3.2656e+00 +1.4852e+00 +2.5295e+00 -4.5050e+00 +2.7401e+00 -4.8969e+00 +8.4496e-02 -1.3619e+00 -4.7521e+00 +2.4218e+00
9 +7.143567191e+00 +7.143567191e+00 +1.401356719e+01 +1.401356719e+01 +4.1215e+00 -4.4528e+00 -1.8538e+00 -1.9988e+00 -4.8653e+00 +3.5778e+00 -4.5603e+00 +8.8997e-01 +1.6936e+00 -4.0134e+00 -3.1443e+00 +6.8041e-01 -4.6011e+00 +1.4731e+00 +8.3226e-01 +4.4981e+00 -4.8160e+00 +4.5749e+00 +2.7298e+00 +1.7720e+00
17 +5.914082846e+00 +5.914082846e+00 +1.278408285e+01 +1.278408285e+01 +4.8546e+00 -2.7189e+00 -3.8922e+00 -1.9706e+00 +4.9510e+00 -1.8940e-01 -2.8435e+00 -2.4996e+00 -3.3894e+00 -2.4037e+00 -3.2497e-01 +4.4724e+00 +2.2461e+00 +1.3947e+00 -7.2115e-01 -2.8581e-01 +5.7043e-01 -3.7496e+00 +1.5244e-01 +1.1780e+00
989 +3.508345875e+00 +3.508345875e+00 +1.037834587e+01 +1.037834587e+01 -8.7500e-01 -3.3266e-01 -2.5000e+00 +5.2797e-01 -5.0000e+00 +6.2155e-01 -4.7908e+00 +3.5000e+00 -4.1907e+00 +6.2500e-01 +6.4456e-01 -2.7204e+00 +4.5590e+00 -4.1845e+00 +5.0000e+00 +8.7500e-01 -3.7039e+00 +1.9531e-02 +1.8130e+00 +3.1718e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e-02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.669116052e+01 +1.669116052e+01 +1.670116052e+01 +1.670116052e+01 +1.8594e-01 +2.9620e-01 +2.1307e-01 -7.2835e-01 -3.2610e+00 +1.1192e+00 -2.1724e+00 -2.3278e+00 +3.8942e+00 +4.1859e+00 +1.8075e+00 +1.3196e+00 +4.1470e+00 -1.9174e+00 -1.6031e+00 -1.8578e+00 -1.0169e-01 +1.4523e+00 -3.5128e+00 +3.1002e+00
2 +1.158513464e+01 +1.158513464e+01 +1.159513464e+01 +1.159513464e+01 +2.0344e+00 +4.8203e+00 +3.9732e+00 +3.0646e+00 -4.4768e+00 +7.1307e-01 +3.2105e+00 -1.3372e-01 -3.3699e-01 -1.0010e+00 -1.7602e+00 -1.7112e+00 +4.3138e+00 +2.6057e+00 +2.7212e+00 +3.5393e+00 -1.5608e+00 +4.6811e+00 +8.2434e-01 -1.0418e+00
13 +7.471640393e+00 +7.471640393e+00 +7.481640393e+00 +7.481640393e+00 -4.9899e+00 -3.3035e+00 +2.5884e+00 +4.8754e+00 -3.2459e+00 -2.0379e+00 -5.0939e-01 +1.0408e-01 -1.4624e+00 -3.2222e+00 -4.3200e+00 +4.3940e+00 +1.2582e+00 +2.4726e+00 -3.3832e+00 -9.6797e-01 -4.3960e+00 +4.1769e+00 +4.0259e+00 -4.8319e+00
364 +6.193376133e+00 +6.193376133e+00 +6.203376133e+00 +6.203376133e+00 -2.6080e+00 +1.2765e+00 +9.1778e-01 +2.3304e+00 +2.9362e+00 -3.8202e+00 -6.0553e-01 -3.0793e+00 +2.3022e+00 +1.1279e-38 -1.4658e+00 -5.0000e+00 -3.2535e+00 -4.6722e+00 +5.0000e+00 -9.1741e-01 -7.0116e-39 +4.7463e+00 -3.0703e+00 +7.3539e-39
% function evaluation | noise-free fitness - Fopt (-1.306100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
