% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.174182815e+03 +3.174182815e+03 +2.712092815e+03 +2.712092815e+03 -2.6492e+00 +2.4249e+00 -2.5634e+00 +1.5138e+00 -1.9751e-01 +1.2400e+00 +7.6793e-01 -1.2180e+00 -3.6594e+00 +3.8612e+00 -8.7439e-01 +4.9379e+00 +4.9728e+00 +2.5642e-01 +1.6734e+00 -3.1048e+00 +4.8181e+00 -4.1766e+00 -4.2108e+00 +4.6797e+00
7 +2.380704374e+03 +2.380704374e+03 +1.918614374e+03 +1.918614374e+03 -4.1700e+00 -1.7877e+00 +2.4152e+00 +1.6249e+00 -1.2214e+00 +2.4376e+00 +2.6308e+00 +4.9599e+00 -1.8293e+00 +3.5516e+00 +2.8744e+00 +2.9829e+00 +4.2428e-02 -9.4601e-01 +4.4792e+00 +5.3735e-01 -6.3623e-01 -4.6714e-01 -8.3579e-01 +7.6078e-01
8 +1.117108448e+03 +1.117108448e+03 +6.550184475e+02 +6.550184475e+02 +3.2279e+00 -4.5866e-02 +2.2912e+00 +3.7631e+00 +2.3370e+00 -2.3660e+00 -1.5818e+00 +6.7805e-01 -4.3053e+00 +6.3420e-01 -3.5198e+00 -4.3106e+00 +3.1731e+00 -1.2497e+00 +5.9446e-01 -3.7895e+00 +2.0782e+00 -2.0373e+00 -4.8005e+00 -4.1431e+00
15 +9.435712707e+02 +9.435712707e+02 +4.814812707e+02 +4.814812707e+02 +2.2935e+00 +1.9966e+00 -2.2699e+00 +4.0273e-01 -2.5104e+00 +3.1579e+00 -3.6897e+00 -6.1806e-01 +3.7850e+00 +9.2075e-01 -1.6906e+00 -1.2058e+00 -5.0037e-01 +1.4011e-01 -4.6786e+00 -4.5011e+00 +2.4471e+00 +1.8859e+00 -1.2897e+00 -2.7910e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.066588019e+03 +8.066588019e+03 +8.144248019e+03 +8.144248019e+03 +2.1413e+00 -1.6632e+00 +4.3961e+00 -3.8316e-01 +4.7306e+00 -4.6638e+00 +6.4476e-01 -7.1203e-01 +3.8178e+00 -1.1544e+00 -2.8820e+00 -6.9589e-01 -3.9221e+00 +4.2591e+00 -4.3195e+00 -4.7219e+00 -2.1028e+00 +4.2557e+00 +2.2550e+00 +3.2139e+00
2 +3.521443073e+03 +3.521443073e+03 +3.599103073e+03 +3.599103073e+03 +1.9695e+00 +1.5728e+00 +4.7061e+00 -2.9635e+00 -4.5016e+00 +3.3756e+00 -4.9789e+00 -3.6394e+00 -1.8048e+00 +1.6183e+00 +3.8333e+00 +2.3827e+00 -3.6943e+00 +1.9266e+00 -1.5203e+00 +4.2376e-01 +1.1209e+00 +4.0207e+00 -3.9670e-01 -2.0536e+00
3 +1.723542626e+03 +1.723542626e+03 +1.801202626e+03 +1.801202626e+03 +1.6041e+00 +2.0810e+00 -7.2954e-01 -5.6741e-02 -1.3284e+00 -2.3210e+00 +1.0356e+00 +4.0046e+00 -1.4566e+00 +2.2261e+00 -4.4993e+00 +3.4550e+00 -2.5483e+00 +3.4381e+00 +2.1773e+00 -1.1656e+00 -4.3504e+00 -2.6895e+00 +3.2653e+00 -1.5986e+00
12 +1.478250930e+03 +1.478250930e+03 +1.555910930e+03 +1.555910930e+03 -1.6319e+00 -3.1798e+00 +2.1298e+00 +1.9969e+00 +8.7602e-01 -1.4621e+00 +1.8685e+00 +4.4423e+00 +3.7057e+00 +3.7620e+00 +3.0401e+00 +2.2584e+00 +2.1533e+00 -3.8535e+00 +4.0177e-01 +2.9629e+00 -2.9205e+00 -1.6042e+00 -3.9758e+00 -2.7148e+00
34 +7.582316056e+02 +7.582316056e+02 +8.358916056e+02 +8.358916056e+02 +4.8726e-01 -7.6612e-01 +2.4111e+00 -1.5652e-01 +4.3295e+00 -4.6267e+00 +2.9121e+00 +2.1312e+00 +4.0495e+00 -1.7099e-01 +2.7280e+00 +1.4840e+00 +3.6962e+00 -2.4245e-01 -4.9710e+00 +3.1883e+00 +8.9743e-01 -1.2252e+00 +4.7805e+00 -1.9289e+00
148 +5.264485515e+02 +5.264485515e+02 +6.041085515e+02 +6.041085515e+02 +2.2150e-01 +9.7116e-01 -4.3933e+00 -2.6373e+00 -4.6191e+00 +8.0848e-01 +1.9759e+00 +1.9749e+00 -4.4695e+00 -4.7185e+00 +2.8113e-01 -9.5456e-01 -1.7021e+00 -4.6999e+00 -4.3995e+00 +4.6347e-01 +8.4638e-01 -1.1207e+00 +4.0315e+00 -1.8798e+00
% function evaluation | noise-free fitness - Fopt (1.156800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.401387798e+03 +2.401387798e+03 +2.517067798e+03 +2.517067798e+03 +4.6057e+00 -3.6883e+00 -3.5641e+00 -4.6134e-01 -2.2922e+00 -4.6268e+00 +8.8113e-01 +3.5439e+00 -4.4493e+00 -3.7971e+00 +3.2656e+00 -2.2549e+00 -2.9663e+00 -4.1262e+00 +4.1852e+00 +2.9343e+00 +3.4571e+00 +3.4887e+00 -4.6842e+00 +1.8719e+00
2 +8.536564964e+02 +8.536564964e+02 +9.693364964e+02 +9.693364964e+02 +2.5988e+00 +4.5707e+00 +2.3912e+00 -1.2346e+00 -4.8717e+00 -4.1256e+00 -2.4622e+00 -4.7682e+00 -3.5291e+00 +1.1690e+00 -2.6863e+00 +2.6711e-01 -2.7902e+00 +2.6783e+00 -1.6911e+00 -4.3796e-01 +2.2935e+00 +3.5222e-01 +1.4185e+00 -2.3303e+00
100 +5.491503824e+02 +5.491503824e+02 +6.648303824e+02 +6.648303824e+02 -3.2822e+00 -3.1938e+00 -6.6930e-01 -2.9414e+00 -4.2531e+00 -1.9112e+00 -3.0927e-01 -2.4570e+00 -3.3914e+00 -2.4887e+00 +1.0856e+00 +8.0729e-01 -3.9416e+00 +5.6050e-01 -3.2293e+00 -2.1882e+00 -3.4757e+00 +1.7251e-01 +3.3770e+00 -3.7518e-01
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.694778871e+03 +1.694778871e+03 +1.691068871e+03 +1.691068871e+03 +4.8347e+00 +1.3747e+00 -2.2275e+00 -1.7518e+00 -2.0344e+00 -2.5019e+00 +7.0213e-01 -1.3756e+00 -4.0322e+00 +4.8864e+00 +4.6721e+00 -7.2292e-01 -2.8095e+00 +3.0064e+00 -2.1247e+00 -4.1924e+00 +1.5433e+00 -4.9131e+00 -1.8164e+00 -2.7673e-01
6 +1.507659713e+03 +1.507659713e+03 +1.503949713e+03 +1.503949713e+03 +6.3422e-02 +8.5961e-01 -3.4693e+00 +1.5369e+00 -3.6192e+00 -2.0039e+00 +7.0817e-01 -2.7963e+00 -1.8572e+00 +7.3147e-01 -1.0567e+00 -3.8281e+00 +1.3356e+00 +4.2379e+00 +2.9489e+00 +4.7288e-02 -1.2358e+00 +1.1204e+00 -4.8441e-01 -3.7804e+00
32 +8.905964996e+02 +8.905964996e+02 +8.868864996e+02 +8.868864996e+02 +3.4353e+00 +7.0890e-01 -1.1174e+00 +1.8100e+00 -2.9498e-01 -7.4113e-01 -1.6436e-01 -1.0482e+00 +2.3838e+00 -2.1185e+00 +2.6508e+00 -1.1379e+00 -3.9531e+00 +3.5865e-01 +9.7372e-01 -3.5447e+00 +4.1919e+00 +2.5258e-01 +1.3701e-01 -4.1822e+00
% function evaluation | noise-free fitness - Fopt (1.321800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.552376356e+03 +2.552376356e+03 +2.684556356e+03 +2.684556356e+03 +2.9932e+00 -3.0572e+00 +3.2248e+00 +2.4070e+00 +3.7258e+00 +1.2650e+00 -2.6257e+00 -4.5871e+00 +1.5004e+00 -4.7969e+00 +3.6677e+00 -1.1888e+00 -4.6758e+00 -2.8526e+00 -2.7536e+00 -2.0804e+00 -4.1124e+00 +3.9552e+00 +4.2194e+00 -1.1292e+00
3 +1.832436261e+03 +1.832436261e+03 +1.964616261e+03 +1.964616261e+03 +1.8088e+00 -4.7989e+00 +2.8709e+00 +1.3215e+00 -3.7504e+00 +1.2843e+00 +1.5927e+00 +4.7350e+00 +2.2507e+00 -3.7989e+00 -3.1838e+00 -2.9364e+00 -2.3439e+00 +4.9929e+00 -3.4037e+00 -4.3863e-01 +4.4544e+00 -4.7586e+00 +6.0810e-01 +4.9358e+00
5 +1.028222579e+03 +1.028222579e+03 +1.160402579e+03 +1.160402579e+03 +4.2738e+00 -1.9344e+00 +4.3476e+00 +3.7524e+00 -1.3797e-01 +3.1464e+00 +3.5470e+00 -2.2174e+00 +1.2469e+00 +1.5994e+00 +1.9995e+00 +1.9830e+00 -2.2964e+00 +3.8926e+00 -4.3086e+00 -1.4413e+00 +4.3095e+00 -5.4936e-01 -1.8037e+00 +3.3596e+00
7 +9.036623043e+02 +9.036623043e+02 +1.035842304e+03 +1.035842304e+03 -5.2536e-01 +3.0030e+00 -1.2744e+00 -1.6568e+00 -1.8135e+00 -3.3082e+00 -1.4170e+00 -2.6619e+00 -1.5507e+00 -2.8934e+00 +4.1268e+00 +2.0765e+00 -2.6765e+00 +3.9058e+00 -3.2421e-01 +1.5756e-01 +3.3345e+00 +5.1410e-01 +2.2211e+00 +2.8748e+00
45 +5.938885954e+02 +5.938885954e+02 +7.260685954e+02 +7.260685954e+02 -9.1425e-01 +4.0642e+00 -6.8082e-01 -1.2101e+00 -2.4983e+00 -3.2796e+00 +3.1141e+00 -7.9195e-01 -1.5574e+00 +5.6252e-01 +1.9801e+00 +4.0101e+00 +5.4449e-01 -9.5861e-01 -6.6101e-01 +4.0656e+00 +3.5819e+00 +2.8946e+00 -2.8977e+00 +2.7217e-01
% function evaluation | noise-free fitness - Fopt (-4.174000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.194209815e+03 +2.194209815e+03 +2.152469815e+03 +2.152469815e+03 +4.5695e+00 +3.9857e-01 -2.1109e+00 +4.2627e+00 +2.5956e+00 +2.7933e+00 +4.4350e+00 -2.7536e+00 +1.4937e+00 -2.8065e+00 +2.1075e+00 +1.6402e+00 +8.7036e-01 +4.2656e+00 -2.4918e+00 -4.3803e+00 -6.8160e-01 +1.3034e+00 -3.0920e+00 +4.7932e+00
19 +9.320598916e+02 +9.320598916e+02 +8.903198916e+02 +8.903198916e+02 +1.4726e+00 -1.8978e+00 +2.1751e-01 +3.9093e+00 -3.1203e+00 +1.5130e+00 +7.9367e-01 +3.5891e+00 -1.1357e+00 +3.7248e+00 -3.8466e+00 -4.1942e-01 +2.9934e+00 -3.8120e+00 -1.7697e+00 +5.8647e-01 -2.9685e+00 +1.9074e+00 +2.0698e+00 +2.0365e+00
